url,year,title,reviews,tomatometer,av_rating,audience,box_office,director,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6
/m/stardust,2007,Stardust,186,76.0,6.8,86,38226458,Matthew Vaughn,Charlie Cox,Claire Danes,Michelle Pfeiffer,Robert De Niro,Sienna Miller,Ricky Gervais
/m/10004659-arthur,2007,Arthur and the Invisibles,90,21.0,4.4,56,15004318,Luc Besson,Freddie Highmore,Mia Farrow,Penny Balfour,Doug Rand,David Bowie,Madonna
/m/good_shepherd,2006,The Good Shepherd,167,53.0,6.1,51,59839040,Robert De Niro,Matt Damon,Angelina Jolie,Alec Baldwin,Tammy Blanchard,Billy Crudup,Robert De Niro
/m/1152276-rent,2005,Rent  (2005),171,46.0,5.8,83,29077547,Chris Columbus,Anthony Rapp,Adam Pascal,Rosario Dawson,Jesse L. Martin,Wilson Jermaine Heredia,Idina Menzel
/m/10002635-bridge_of_san_luis_rey,2005,The Bridge of San Luis Rey,24,4.0,2.9,34,NA,Mary McGuckian,Gabriel Byrne,F. Murray Abraham,Kathy Bates,Geraldine Chaplin,Robert De Niro,Émilie Dequenne
/m/1141193-hide_and_seek,2005,Hide and Seek,156,13.0,3.9,49,51100000,John Polson,Robert De Niro,Dakota Fanning,Famke Janssen,Elisabeth Shue,Amy Irving,Dylan Baker
/m/meet_the_fockers,2004,Meet the Fockers,159,39.0,5.2,58,279167575,Jay Roach,Robert De Niro,Ben Stiller,Dustin Hoffman,Barbra Streisand,Blythe Danner,Teri Polo
/m/stage_beauty,2004,Stage Beauty,124,64.0,6.5,78,700000,Richard Eyre,Billy Crudup,Claire Danes,Rupert Everett,Tom Wilkinson,Ben Chaplin,Hugh Bonneville
/m/shark_tale,2004,Shark Tale,180,35.0,5.2,49,160762022,"Eric 'Bibo' Bergeron, Rob Letterman, Bibo Bergeron, Vicky Jenson",Will Smith,Robert De Niro,Renée Zellweger,Angelina Jolie,Jack Black,Martin Scorsese
/m/godsend,2004,Godsend  (2003),138,4.0,3.3,20,14285888,Nick Hamm,Greg Kinnear,Rebecca Romijn,Robert De Niro,Cameron Bright,Merwin Mondesir,Jake Simons
/m/analyze_that,2002,Analyze That,149,27.0,4.8,39,32070920,Harold Ramis,Robert De Niro,Billy Crystal,Lisa Kudrow,Joe Viterelli,Cathy Moriarty,Anthony LaPaglia
/m/city_by_the_sea,2002,City by the Sea,144,47.0,5.8,40,22369941,Michael Caton-Jones,Robert De Niro,Frances McDormand,James Franco,Eliza Dushku,William Forsythe,George Dzundza
/m/about_a_boy,2002,About a Boy,184,93.0,7.7,54,40566655,"Chris Weitz, Paul Weitz",Hugh Grant,Toni Collette,Rachel Weisz,Nicholas Hoult,Victoria Smurfit,Isabel Brook
/m/1113375-showtime,2002,Showtime,123,25.0,4.7,25,37904545,Tom Dey,Robert De Niro,Eddie Murphy,Rene Russo,Pedro Damián,Pedro Damien,Yasiin Bey
/m/1108799-score,2001,The Score,128,73.0,6.5,67,70307038,Frank Oz,Robert De Niro,Edward Norton,Marlon Brando,Angela Bassett,Gary Farmer,Jamie Harrold
/m/15_minutes,2001,15 Minutes,123,33.0,4.4,37,24160216,John Herzfeld,Robert De Niro,Edward Burns,Kelsey Grammer,Avery Brooks,Melina Kanakaredes,Karel Roden
/m/men_of_honor,2000,Men of Honor,105,41.0,5.3,81,NA,George Tillman Jr.,Robert De Niro,Cuba Gooding Jr.,Charlize Theron,Aunjanue Ellis,Hal Holbrook,Michael Rapaport
/m/meet_the_parents,2000,Meet the Parents,146,84.0,6.9,79,164454835,Jay Roach,Robert De Niro,Ben Stiller,Teri Polo,Blythe Danner,Owen Wilson,James Rebhorn
/m/adventures_of_rocky_and_bullwinkle,2000,Rocky & Bullwinkle,96,43.0,4.8,20,411840,Des McAnuff,Jason Alexander,Rene Russo,Piper Perabo,Randy Quaid,Robert De Niro,Janeane Garofalo
/m/flawless,1999,Flawless  (1999),56,43.0,5.2,53,NA,Joel Schumacher,Robert De Niro,Philip Seymour Hoffman,Barry Miller,Chris Bauer,Skipp Sudduth,Wilson Jermaine Heredia
/m/entropy,1999,Entropy,5,40.0,5.3,73,NA,Phil Joanou,Stephen Dorff,Judith Godrèche,Kelly Macdonald,Lauren Holly,Hector Elizondo,Jon Tenney
/m/analyze_this,1999,Analyze This,101,69.0,6.5,62,NA,Harold Ramis,Billy Crystal,Robert De Niro,Lisa Kudrow,Joe Viterelli,Chazz Palminteri,Bill Macy
/m/ronin,1998,Ronin,60,68.0,6.3,80,NA,John Frankenheimer,Robert De Niro,Jean Reno,Natascha McElhone,Stellan Skarsgard,Sean Bean,Skipp Sudduth
/m/1081200-great_expectations,1998,Great Expectations  (1998),34,38.0,5.4,78,NA,Alfonso Cuarón,Ethan Hawke,Gwyneth Paltrow,Anne Bancroft,Robert De Niro,Hank Azaria,Josh Mostel
/m/wag_the_dog,1997,Wag the Dog,72,85.0,7.4,76,NA,Barry Levinson,Dustin Hoffman,Robert De Niro,Anne Heche,Denis Leary,Woody Harrelson,Willie Nelson
/m/jackie_brown,1997,Jackie Brown,77,87.0,7.4,85,NA,Quentin Tarantino,Pam Grier,Samuel L. Jackson,Robert Forster,Bridget Fonda,Michael Keaton,Robert De Niro
/m/cop_land,1997,Cop Land,61,72.0,6.5,66,NA,James Mangold,Sylvester Stallone,Harvey Keitel,Ray Liotta,Robert De Niro,Peter Berg,Janeane Garofalo
/m/marvins_room,1996,Marvin's Room,49,80.0,6.7,62,NA,Jerry Zaks,Meryl Streep,Diane Keaton,Leonardo DiCaprio,Robert De Niro,Hume Cronyn,Gwen Verdon
/m/1073595-sleepers,1996,Sleepers,54,74.0,6.6,85,NA,Barry Levinson,Kevin Bacon,Robert De Niro,Dustin Hoffman,Jason Patric,Brad Pitt,Minnie Driver
/m/1072972-fan,1996,The Fan,27,37.0,4.8,34,NA,Tony Scott,Robert De Niro,Wesley Snipes,Ellen Barkin,John Leguizamo,Benicio Del Toro,Patti D'Arbanville
/m/faithful,1996,Faithful,15,7.0,3.9,46,NA,Paul Mazursky,Cher,Chazz Palminteri,Ryan O'Neal,Paul Mazursky,Amber Smith,Elisa Leonetti
/m/1068182-heat,1995,Heat,78,86.0,7.8,94,NA,Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Tom Sizemore,Diane Venora
/m/1067987-casino,1995,Casino,61,80.0,7.2,93,NA,Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci,James Woods,Don Rickles,Alan King
/m/mary_shelleys_frankenstein,1994,Mary Shelley's Frankenstein,41,39.0,5.5,49,NA,Kenneth Branagh,Robert De Niro,Kenneth Branagh,Tom Hulce,Helena Bonham Carter,John Cleese,Aidan Quinn
/m/mad_dog_and_glory,1993,Mad Dog and Glory,27,78.0,6.2,45,NA,John McNaughton,Robert De Niro,Uma Thurman,Bill Murray,David Caruso,Mike Starr,Tom Towles
/m/bronx_tale,1993,A Bronx Tale,27,96.0,7.4,93,NA,Robert De Niro,Robert De Niro,Chazz Palminteri,Lillo Brancato Jr.,Francis Capra,Taral Hicks,Kathrine Narducci
